id;attribute_id;value;sort_order;is_active;created_at
78a2b6ab-30f6-4809-bee3-21def354fd68;1c9b8c8b-c2ed-490d-a09d-ef9d1bfad7e2;Sienna (#A0522D);73;true;2026-01-21 11:15:17.543374+00
c6a49393-45dc-44ea-82b1-0234af5f5cea;1c9b8c8b-c2ed-490d-a09d-ef9d1bfad7e2;Chocolate (#D2691E);74;true;2026-01-21 11:15:17.543374+00
a0ac7988-4d2a-4fa3-8f9d-123e7ee59cc3;1c9b8c8b-c2ed-490d-a09d-ef9d1bfad7e2;Tan (#D2B48C);76;true;2026-01-21 11:15:17.543374+00
563ea9e7-2a17-41cd-bb4b-ce17dcc0eb4a;1c9b8c8b-c2ed-490d-a09d-ef9d1bfad7e2;Beige (#F5F5DC);77;true;2026-01-21 11:15:17.543374+00
cd60fa84-3dc0-4513-8a2b-79b66cca7871;1c9b8c8b-c2ed-490d-a09d-ef9d1bfad7e2;Wheat (#F5DEB3);78;true;2026-01-21 11:15:17.543374+00
2280701f-6449-48d5-89e4-929b28dd41a0;1c9b8c8b-c2ed-490d-a09d-ef9d1bfad7e2;Burlywood (#DEB887);79;true;2026-01-21 11:15:17.543374+00
9fa8d557-a626-45e2-a682-734010dad1e0;1c9b8c8b-c2ed-490d-a09d-ef9d1bfad7e2;Sandy Brown (#F4A460);80;true;2026-01-21 11:15:17.543374+00
f9ccf399-6e39-4026-a995-83f6a7dfcc12;1c9b8c8b-c2ed-490d-a09d-ef9d1bfad7e2;Peru (#CD853F);0;true;2026-01-21 11:27:40.091903+00
08a56cd4-8794-40e8-96e5-c1a7a5932bc0;96beda13-2f55-4cbc-bce7-44ce4cd3917c;XS;0;true;2026-01-21 12:28:28.583285+00
faf006cf-35c8-44b2-a8bb-bdd0ca2f2d0f;96beda13-2f55-4cbc-bce7-44ce4cd3917c;M;0;true;2026-01-21 12:28:31.746707+00
e3977bad-d1f2-439b-92c8-47a9fe54270a;96beda13-2f55-4cbc-bce7-44ce4cd3917c;XL;0;true;2026-01-21 12:28:34.983193+00
fa2bbf6d-26a8-4a32-9225-b869c6294c6b;96beda13-2f55-4cbc-bce7-44ce4cd3917c;2XL;0;true;2026-01-21 12:28:55.565622+00
cd7e3e1e-5571-4880-b2c2-87a12c2d53e6;96beda13-2f55-4cbc-bce7-44ce4cd3917c;3XL;0;true;2026-01-21 12:28:57.667489+00
73cfeb6e-9153-4b6b-973d-8560d3a501da;96beda13-2f55-4cbc-bce7-44ce4cd3917c;0-3M;0;true;2026-01-21 12:29:15.979777+00
b9475761-1e97-4cc1-9040-cc3d4272441a;96beda13-2f55-4cbc-bce7-44ce4cd3917c;18M;0;true;2026-01-21 12:29:29.778685+00
69aa743d-a360-4c47-bc65-53c962945c87;96beda13-2f55-4cbc-bce7-44ce4cd3917c;2-3Y;0;true;2026-01-21 12:29:45.173929+00
30989f1e-3853-428b-8b35-ac988ce47272;96beda13-2f55-4cbc-bce7-44ce4cd3917c;4-5Y;0;true;2026-01-21 12:29:52.505127+00
2ba09c68-b7be-4768-8091-f0d34b5b5f8f;96beda13-2f55-4cbc-bce7-44ce4cd3917c;8-9Y;0;true;2026-01-21 12:29:57.976141+00
308f48a0-da3b-46c8-a936-efb0fa0822f8;96beda13-2f55-4cbc-bce7-44ce4cd3917c;11-12Y;0;true;2026-01-21 12:30:05.645715+00
23c567b3-5f6e-45fb-ba67-7e8085427443;96beda13-2f55-4cbc-bce7-44ce4cd3917c;12-13Y;0;true;2026-01-21 12:30:19.075219+00
